fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230717 024542	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.116223628358639	0.698414451189456	1251	351	0.803462843133481	1
20230717 025026	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.0661160112528887	0.514170637687493	44	782	0.804214571767867	2
20230717 025349	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	30	TRUE	491	0.205100165916883	0.773968914207944	1396	702	0.804780730053331	3
20230717 025707	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.104598319727374	0.640860394209449	953	503	0.805532667287046	4
20230717 030032	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3	TRUE	491	0.091015253732985	0.930461972078774	1797	204	0.805708085192354	5
20230717 030245	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2	TRUE	491	0.276025854780673	0.983786975317344	2460	970	0.804465367451315	6
20230717 030512	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	7	TRUE	491	0.263081536016616	0.80696659336536	660	581	0.803683406272137	7
20230717 032218	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	348	TRUE	491	0.0330932041719643	0.44769732644927	2754	304	0.802648072267866	8
20230717 033052	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	189	TRUE	491	0.157388487795106	0.35905233349622	1636	434	0.80457493061102	9
20230717 033322	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	7	TRUE	491	0.224965054371569	0.564691312708601	2945	217	0.804448783579198	10
20230717 033608	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.181058361610412	0.656844644519151	847	952	0.81034684730542	11
20230717 033937	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	28	TRUE	491	0.14802203836538	0.540758145118889	206	91	0.805151100942069	12
20230717 034426	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	13	TRUE	491	0.0546969264102518	0.874502146444865	2135	628	0.802004482807818	13
20230717 034845	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	68	TRUE	491	0.24173042918148	0.338447100637131	2336	854	0.801804006381522	14
20230717 035057	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3	TRUE	491	0.292594282283244	0.851081690160208	1994	42	0.808440498419099	15
20230717 043306	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	908	TRUE	491	0.0131791640716983	0.40367732415616	484	710	0.803559266808398	16
20230717 043615	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	19	TRUE	491	0.181934789328211	0.790027238503143	900	995	0.805114492087124	17
